C221	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C222	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C223	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C224	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C225..C228	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C229	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C230..C233	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C234	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C235..C238	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C239	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C240..C243	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C244	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C245..C248	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C249	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C250..C253	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C254	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C255..C258	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C259	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C260..C263	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C264	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C265..C268	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C269	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C270..C273	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C274	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C275..C278	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C279	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C280..C283	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C284	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C285..C288	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C289	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C290..C293	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C294	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C295..C298	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C299	Конденсатор 0402-2.2мкФ±10%-6.3V-X5R Murata, GRM155R60J225ME15D	1	Digi-Key: 490-4519-1-ND
C300..C303	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C304,C305	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	2	Digi-Key: 490-4516-2-ND
C306	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C307	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C308	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C309	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C310	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C311	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C312	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C313	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C314..C322	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	9	Digi-Key: 490-3261-1-ND
C323	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C324..C331	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	8	Digi-Key: 490-3261-1-ND
C332,C333	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	2	Digi-Key: 490-3896-1-ND
C334..C353	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	20	Digi-Key: 490-4516-2-ND
C354..C370	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	17	Digi-Key: 490-3261-1-ND
C371,C372	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	2	Digi-Key: 490-3890-1-ND
C373,C374	Конденсатор 0402-18пФ±5%-50V-NP0 Panasonic - ECG, ECJ-0EC1H180J	2	Digi-Key: PCC180CQCT-ND
C375,C376	Конденсатор 0402-27пФ±5%-50V-NP0 Panasonic - ECG, ECJ-0EC1H270J	2	Digi-Key: PCC270CQCT-ND
C377..C379	Конденсатор 0805-22.0мкФ±20%-6.3V-X5R Murata, GRM21BR60J226ME39	3	Digi-Key: 490-1719-1-ND
C380	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	1	Digi-Key: 490-3896-1-ND
C381..C383	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	3	Digi-Key: 490-3890-1-ND
C384	Конденсатор V-330.0мкФ±20%-2.5V Panasonic - ECG, EEFSX0E331XE	1	Digi-Key: PCE4829CT-ND
C385..C388	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	4	Digi-Key: 490-3890-1-ND
C389,C390	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	2	Digi-Key: 490-3261-1-ND
C391..C400	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	10	Digi-Key: 490-3890-1-ND
C401	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	1	Digi-Key: 490-3896-1-ND
C402,C403	Конденсатор B-220.0мкФ±20%-4V Kemet, T520B227M004ATE045	2	Digi-Key: 399-4731-1-ND
C404	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C405,C406	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	2	Digi-Key: 490-3896-1-ND
C407..C409	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	3	Digi-Key: 490-3261-1-ND
C410,C411	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	2	Digi-Key: 490-3890-1-ND
C412,C413	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	2	Digi-Key: 490-3261-1-ND
C414	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C415	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	1	Digi-Key: 490-4516-2-ND
C416	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C417	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C418..C420	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	3	Digi-Key: 490-3261-1-ND
C421	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C422	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C423..C425	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	3	Digi-Key: 490-3261-1-ND
C426	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C427	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C428	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	1	Digi-Key: 490-3890-1-ND
C429..C438	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	10	Digi-Key: 490-3261-1-ND
C439,C440	Конденсатор 0402-27пФ±5%-50V-NP0 Panasonic - ECG, ECJ-0EC1H270J	2	Digi-Key: PCC270CQCT-ND
C441	Конденсатор 0402-10пФ±10%-50V-NP0 Kemet, C0402C100K5GACTU	1	Digi-Key: C0402C100K5GACTU-ND
C442..C449	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	8	Digi-Key: 490-3261-1-ND
C450,C451	Конденсатор 0402-1.0мкФ±10%-10V-X5R Murata, GRM155R61A105KE15D	2	Digi-Key: 490-3890-1-ND
C452,C453	Конденсатор 1206-1000 пФ±10%-2000V-X7R AVX	2	Digikey № 478-2956-6-ND
C454,C455	Конденсатор 0805-22.0мкФ±20%-6.3V-X5R Murata, GRM21BR60J226ME39	2	Digi-Key: 490-1719-1-ND
C456..C458	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	3	Digi-Key: 490-3896-1-ND
C459..C464	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	6	Digi-Key: 490-3261-1-ND
C465..C477	Конденсатор 0402-0.01мкФ±10%-50V-X7R Murata, GRM155R71H103KA88D	13	Digi-Key: 490-4516-2-ND
C478..C483	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	6	Digi-Key: 490-3261-1-ND
C484	Конденсатор 0805-22.0мкФ±20%-6.3V-X5R Murata, GRM21BR60J226ME39	1	Digi-Key: 490-1719-1-ND
C485,C486	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	2	Digi-Key: 490-3896-1-ND
C487..C491	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	5	Digi-Key: 490-3261-1-ND
C492,C493	Конденсатор 0402-27пФ±5%-50V-NP0 Panasonic - ECG, ECJ-0EC1H270J	2	Digi-Key: PCC270CQCT-ND
C494	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	1	Digi-Key: 490-3261-1-ND
C495	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	1	Digi-Key: 490-3896-1-ND
C496..C502	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	7	Digi-Key: 490-3261-1-ND
C503,C504	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	2	Digi-Key: 490-3896-1-ND
C505,C506	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	2	Digi-Key: 490-3261-1-ND
C507..C510	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	4	Digi-Key: 490-3261-1-ND
C511,C512	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	2	Digi-Key: 490-3261-1-ND
C513	Конденсатор 0603-10.0мкФ±20%-6.3V-X5R Murata, GRM188R60J106ME47D	1	Digi-Key: 490-3896-1-ND
C514..C518	Конденсатор 0402-0.1мкФ±10%-16V-X7R Murata, GRM155R71C104KA88D	5	Digi-Key: 490-3261-1-ND
